Retailer,Address,City,State,"Postal Code",Supplier,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key"
"Lowdown Oven & Bar (CHS)","967 Folly Road",Charleston,SC,29412,"Island Brands",32.730659,-79.969248,1,rooftop,"967 Folly Rd",,"Charleston, SC 29412",967,"Folly Rd",,,Charleston,SC,"Charleston County",29412,US,"Statewide SC",gcod_usn8vewwym3yhyn4vy8xnefrxbzh8
"Hometeam BBQ - West Ashley (CHS)","1205 Ashley River Road",Charleston,SC,29407,"Island Brands",32.796967,-79.99767,1,rooftop,"1205 Ashley River Rd",,"Charleston, SC 29407",1205,"Ashley River Rd",,,Charleston,SC,"Charleston County",29407,US,"Charleston County GIS",gcod_usna2372jezulbreuy883rkh6jlp2
"Blind Tiger Pub (CHS)","36-38 Broad Street",Charleston,SC,29401,"Island Brands",32.77685,-79.928685,0.99,rooftop,"36 Broad St",,"Charleston, SC 29401",36,"Broad St",,,Charleston,SC,"Charleston County",29401,US,"Charleston County GIS",gcod_usnn2jeyly2jsujb5m872ww9gxgb9
"Ty's Roadside Coastal Kitchen (CHS)","713 Coleman Boulevard","Mount Pleasant",SC,29464,"Island Brands",32.792158,-79.86905,1,rooftop,"713 Coleman Blvd",,"Mount Pleasant, SC 29464",713,"Coleman Blvd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnstsra729yz4t45lbh7x75f5q5g
"T-Bonz-Downtown (CHS)","80 North Market Street",Charleston,SC,29401,"Island Brands",32.78109,-79.930113,1,rooftop,"80 N Market St",,"Charleston, SC 29401",80,"N Market St",,,Charleston,SC,"Charleston County",29401,US,"Charleston County GIS",gcod_usn4rrfw3xuth5ac7kts7kjd6wmt4
"Jinya Ramen - Morrison (CHS)","850 Morrison Drive",Charleston,SC,29403,"Island Brands",32.803131,-79.938568,1,rooftop,"850 Morrison Dr",,"Charleston, SC 29403",850,"Morrison Dr",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usnktvqnw4amjm34uzlrsys4m2sl2
"Bohemian Bull - James Island (CHS)","1531 Folly Road",Charleston,SC,29412,"Island Brands",32.708256,-79.964436,1,rooftop,"1531 Folly Rd",,"Charleston, SC 29412",1531,"Folly Rd",,,Charleston,SC,"Charleston County",29412,US,"Charleston County GIS",gcod_usn8vewwym3yhyn4q22dju7grhw85
"Tommy Condon's Irish Pub (CHS)","160 Church Street",Charleston,SC,29401,"Island Brands",32.780223,-79.929394,1,rooftop,"160 Church St",,"Charleston, SC 29401",160,"Church St",,,Charleston,SC,"Charleston County",29401,US,"Charleston County GIS",gcod_usnhsulg398axrx2gueysvhxg8r62
"Crave-Mt Pleasant (CHS)","1968 Riviera Drive","Mount Pleasant",SC,29464,"Island Brands",32.821933,-79.816527,1,rooftop,"1968 Riviera Dr",,"Mount Pleasant, SC 29464",1968,"Riviera Dr",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usn9k9nyzstxbqqdabrf765urcjb9
"All American Sports Bar (CHS)","545 Belle Station Boulevard","Mount Pleasant",SC,29464,"Island Brands",32.843088,-79.854119,1,rooftop,"545 Belle Station Blvd",,"Mount Pleasant, SC 29464",545,"Belle Station Blvd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnenge7lprgvuvamrhh55be5ecd3
