Retailer,Address,City,State,"Postal Code",Supplier,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key"
"MOMO Kitchen & Market (CHS)","1049 Everglades Drive","North Charleston",SC,29405,"Rusty Bull Brewing Company",32.868615,-79.966097,1,rooftop,"1049 Everglades Dr",,"North Charleston, SC 29405",1049,"Everglades Dr",,,"North Charleston",SC,"Charleston County",29405,US,"Charleston County GIS",gcod_usnuuva8qlx66yh9z8s5lmz988gdh
"Chas Rifle Club (CHS)","2221 Heriot Street",Charleston,SC,29403,"Rusty Bull Brewing Company",32.8141,-79.957261,1,rooftop,"2221 Heriot St",,"Charleston, SC 29403",2221,"Heriot St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usnakatvlth2l766z32xehg2qyqvg
"Pub On 61 (CHS)","2366 Ashley River Road",Charleston,SC,29414,"Rusty Bull Brewing Company",32.824624,-80.037847,1,rooftop,"2366 Ashley River Rd",,"Charleston, SC 29414",2366,"Ashley River Rd",,,Charleston,SC,"Charleston County",29414,US,"Charleston County GIS",gcod_usn7l5zh3aw5a9v66hq99rtqxdc55
"Moxy Charleston (CHS)","547 Meeting Street",Charleston,SC,29403,"Rusty Bull Brewing Company",32.799429,-79.942822,1,rooftop,"547 Meeting St",,"Charleston, SC 29403",547,"Meeting St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usnjbtkxpk6sfw96u6n4z6hg4bc4e
"Fuji Sushi - Nexton (CHS)","501 Front Street",Summerville,SC,29486,"Rusty Bull Brewing Company",33.041129,-80.142125,1,rooftop,"501 Front St",,"Summerville, SC 29486",501,"Front St",,,Summerville,SC,"Berkeley County",29486,US,Berkeley,gcod_usnpub4sflydmxg5aa86qblxbquc7
"Indy Karting SC (CHS)","71 Towne Drive",Bluffton,SC,29910,"Rusty Bull Brewing Company",32.269668,-80.860037,1,rooftop,"71 Towne Dr",,"Bluffton, SC 29910",71,"Towne Dr",,,Bluffton,SC,"Beaufort County",29910,US,Beaufort,gcod_usn9kwt3hjy5htq8smqtg84bb4xeb
"Fratello's - Folly Rd (CHS)","520 Folly Road",Charleston,SC,29412,"Rusty Bull Brewing Company",32.753634,-79.970954,1,rooftop,"520 Folly Rd",,"Charleston, SC 29412",520,"Folly Rd",,,Charleston,SC,"Charleston County",29412,US,"Charleston County GIS",gcod_usn8vewwym3yhyn4l7d2sdz6wx78b
"Kingstide - DI (CHS)","30 River Landing Drive",Charleston,SC,29492,"Rusty Bull Brewing Company",32.855462,-79.903619,1,rooftop,"30 River Landing Dr",,"Daniel Island, SC 29492",30,"River Landing Dr",,,"Daniel Island",SC,"Berkeley County",29492,US,Berkeley,gcod_usn6bw2wavd32852yegznwguv7ywa
"Upstairs Ice House (CHS)","104 East Doty Avenue",Summerville,SC,29483,"Rusty Bull Brewing Company",33.019453,-80.174205,1,rooftop,"104 E Doty Ave",,"Summerville, SC 29483",104,"E Doty Ave",,,Summerville,SC,"Dorchester County",29483,US,"Charleston County GIS",gcod_usnpq5ep8nlxvlz7fuyvd9ukqf5zc
"Giuseppi's - Bluffton (CHS)","25 Bluffton Road",Bluffton,SC,29910-7619,"Rusty Bull Brewing Company",32.256357,-80.853236,1,rooftop,"25 Bluffton Rd",,"Bluffton, SC 29910",25,"Bluffton Rd",,,Bluffton,SC,"Beaufort County",29910,US,Beaufort,gcod_usnlefkvejz5fy6br5eedawj7w8fd
"Staybridge Suites - Mt P (CHS)","251 Sessions Way","Mount Pleasant",SC,29464,"Rusty Bull Brewing Company",32.801555,-79.896869,1,rooftop,"251 Sessions Way",,"Mount Pleasant, SC 29464",251,"Sessions Way",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usn39sbx8py5thu9eatgmx76t6kc5
"Triangle - Avondale (CHS)","828 Savannah Highway",Charleston,SC,29407,"Rusty Bull Brewing Company",32.782508,-79.986952,1,rooftop,"828 Savannah Hwy",,"Charleston, SC 29407",828,"Savannah Hwy",,,Charleston,SC,"Charleston County",29407,US,"Charleston County GIS",gcod_usn84spdtwcpkaebx99f3j8cynana
"Carolina Tasting Room (CHS)","1 North Forest Beach Drive","Hilton Head Island",SC,29928,"Rusty Bull Brewing Company",32.143409,-80.750369,1,rooftop,"1 N Forest Beach Dr",,"Hilton Head Island, SC 29928",1,"N Forest Beach Dr",,,"Hilton Head Island",SC,"Beaufort County",29928,US,Beaufort,gcod_usny6pafw6uftbthssgsbsmg5sbhe
"Mellow Mushroom-Bluffton (CHS)","878 Fording Island Road",Bluffton,SC,29910-8678,"Rusty Bull Brewing Company",32.266011,-80.861058,1,rooftop,"878 US-278",,"Bluffton, SC 29910",878,US-278,,,Bluffton,SC,"Beaufort County",29910,US,Beaufort,gcod_usncty3nzmya4rz4lmy58xxel9myh
"Locals Only Taproom (CHS)","144 Arrow Road","Hilton Head Island",SC,29928,"Rusty Bull Brewing Company",32.157767,-80.760591,1,rooftop,"144 Arrow Rd",,"Hilton Head Island, SC 29928",144,"Arrow Rd",,,"Hilton Head Island",SC,"Beaufort County",29928,US,Beaufort,gcod_usndef4rewg4v7v2xngpzlnmv3nm7
"CHS Sports Book - Nexton (CHS)","600 Nexton Square Drive",Summerville,SC,29468,"Rusty Bull Brewing Company",33.041657,-80.141114,0.99,rooftop,"600 Nexton Square Dr",,"Summerville, SC 29486",600,"Nexton Square Dr",,,Summerville,SC,"Berkeley County",29486,US,Berkeley,gcod_usn7dfhxg3xh3uk2kegt6rsg4md7f
"Smugglers - IOP (CHS)","1122 Ocean Boulevard","Isle Of Palms",SC,29451,"Rusty Bull Brewing Company",32.78514,-79.789024,1,rooftop,"1122 Ocean Blvd",,"Isle of Palms, SC 29451",1122,"Ocean Blvd",,,"Isle of Palms",SC,"Charleston County",29451,US,"Statewide SC",gcod_usn9wdmyvjg9m486luav9ece657bg
"Millers All Day - King St (CHS)","120 King Street",Charleston,SC,29401-3149,"Rusty Bull Brewing Company",32.776684,-79.932678,1,rooftop,"120 King St",,"Charleston, SC 29401",120,"King St",,,Charleston,SC,"Charleston County",29401,US,"Charleston County GIS",gcod_usnf5vftuxyvqdfcmu2wffk2mwzuf
"CHS Sports Book - Tanger (CHS)","4950 Centre Pointe Drive","North Charleston",SC,29418,"Rusty Bull Brewing Company",32.875919,-80.021785,1,rooftop,"4950 Centre Pointe Dr",,"North Charleston, SC 29418",4950,"Centre Pointe Dr",,,"North Charleston",SC,"Charleston County",29418,US,"Charleston County GIS",gcod_usnlfqaank5hbd4adctaak4fhqjr4
"Shelter (CHS)","202 Coleman Boulevard","Mount Pleasant",SC,29464,"Rusty Bull Brewing Company",32.791666,-79.879112,1,rooftop,"202 Coleman Blvd",,"Mount Pleasant, SC 29464",202,"Coleman Blvd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnstsra729yz4t49fh6vbv6d5p85
"Southern Roots - West Ashley (CHS)","2544 Savannah Highway",Charleston,SC,29414,"Rusty Bull Brewing Company",32.793922,-80.055464,1,rooftop,"2544 Savannah Hwy",,"Charleston, SC 29414",2544,"Savannah Hwy",,,Charleston,SC,"Charleston County",29414,US,"Statewide SC",gcod_usnewq83dry5bvz6tmp4ftwkb7e27
"Agaves Cantina-Daniel Island (CHS)","885 Island Park Drive","Daniel Island",SC,29492,"Rusty Bull Brewing Company",32.862252,-79.906367,1,rooftop,"885 Island Park Dr",,"Daniel Island, SC 29492",885,"Island Park Dr",,,"Daniel Island",SC,"Berkeley County",29492,US,Berkeley,gcod_usnfu34ru7esvzsebc3a4ldufbgd6
"Rotolos (CHS)","420 Cross Park Lane",Summerville,SC,29486,"Rusty Bull Brewing Company",33.061039,-80.150653,1,rooftop,"420 Cross Park Ln",,"Summerville, SC 29486",420,"Cross Park Ln",,,Summerville,SC,"Berkeley County",29486,US,Berkeley,gcod_usnjxpyd4takwbgdhle2pehvfkjq6
"Charleston Sports Pub-Maybank (CHS)","1989 Maybank Highway",Charleston,SC,29412,"Rusty Bull Brewing Company",32.76209,-79.987704,1,rooftop,"1989 Maybank Hwy",,"Charleston, SC 29412",1989,"Maybank Hwy",,,Charleston,SC,"Charleston County",29412,US,"Charleston County GIS",gcod_usnhlgspal559gt9vpszvfv56pfq5
"Honky Tonk Burger Co (CHS)","192 College Park Road",Ladson,SC,29456,"Rusty Bull Brewing Company",32.994827,-80.096612,1,rooftop,"192 College Park Rd",,"Ladson, SC 29456",192,"College Park Rd",,,Ladson,SC,"Berkeley County",29456,US,Berkeley,gcod_usnvxcubkzv5a9ncs7s5gumy2f94d
"Madison's Market (CHS)","925 10th Street","Port Royal",SC,29935-2423,"Rusty Bull Brewing Company",32.375892,-80.692022,1,rooftop,"925 10th St",,"Port Royal, SC 29935",925,"10th St",,,"Port Royal",SC,"Beaufort County",29935,US,Beaufort,gcod_usnyf7ejybvvmdrc2pgeecylzndvb
"Juanita Greenbergs (CHS)","410 West Coleman Boulevard","Mount Pleasant",SC,29464,"Rusty Bull Brewing Company",32.796543,-79.885541,1,rooftop,"410 W Coleman Blvd",,"Mount Pleasant, SC 29464",410,"W Coleman Blvd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnubejnfdtdvcbc8p6mtln5mnldg
"Bahama Breeze #3064 (CHS)","7811 Rivers Avenue",Charleston,SC,29406,"Rusty Bull Brewing Company",32.94697,-80.042393,1,rooftop,"7811 Rivers Ave",,"North Charleston, SC 29406",7811,"Rivers Ave",,,"North Charleston",SC,"Charleston County",29406,US,"Charleston County GIS",gcod_usnqgh6w5rus53hawk8x7fqkvp7p5
"Club House - Dataw (CHS)","100 Dataw Club Road","Saint Helena",SC,29920,"Rusty Bull Brewing Company",32.432084,-80.581921,1,rooftop,"100 Dataw Club Rd",,"Saint Helena Island, SC 29920",100,"Dataw Club Rd",,,"Saint Helena Island",SC,"Beaufort County",29920,US,Beaufort,gcod_usn5xqp5h6hmkf2gz6sfpvxu3b293
"Whiskey Run Sports Bar (CHS)","5060 Dorchester Road","North Charleston",SC,29418,"Rusty Bull Brewing Company",32.858461,-80.032939,1,rooftop,"5060 Dorchester Rd",,"North Charleston, SC 29418",5060,"Dorchester Rd",,,"North Charleston",SC,"Charleston County",29418,US,"Charleston County GIS",gcod_usnzuyc9ue35yh7dep2thr298tms6
"Cedar Creek Tavern (CHS)","2578 Ashley River Road",Charleston,SC,29414,"Rusty Bull Brewing Company",32.834656,-80.045544,1,rooftop,"2578 Ashley River Rd",,"Charleston, SC 29414",2578,"Ashley River Rd",,,Charleston,SC,"Charleston County",29414,US,"Statewide SC",gcod_usn7l5zh3aw5a9v6lxugfeu4df2qf
"The Establishment (CHS)","28 Broad Street",Charleston,SC,29401,"Rusty Bull Brewing Company",32.776912,-79.928304,1,rooftop,"28 Broad St",,"Charleston, SC 29401",28,"Broad St",,,Charleston,SC,"Charleston County",29401,US,"Charleston County GIS",gcod_usnn2jeyly2jsujb988avw2fhvz6h
"The Dime - Daniel Island (CHS)","30 River Landing Drive",Charleston,SC,29492,"Rusty Bull Brewing Company",32.855462,-79.903619,1,rooftop,"30 River Landing Dr",,"Daniel Island, SC 29492",30,"River Landing Dr",,,"Daniel Island",SC,"Berkeley County",29492,US,Berkeley,gcod_usn6bw2wavd32852yegznwguv7ywa
"All American Sports Bar (CHS)","545 Belle Station Boulevard","Mount Pleasant",SC,29464,"Rusty Bull Brewing Company",32.843088,-79.854119,1,rooftop,"545 Belle Station Blvd",,"Mount Pleasant, SC 29464",545,"Belle Station Blvd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnenge7lprgvuvamrhh55be5ecd3
"Dog & Duck - Belle Hall (CHS)","624 Long Point Road","Mount Pleasant",SC,29464,"Rusty Bull Brewing Company",32.840802,-79.857315,1,rooftop,"624 Long Point Rd",,"Mount Pleasant, SC 29464",624,"Long Point Rd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnq9vmw4t26q7ee4rjxd2nzcyf8b
"Lumber Jills (CHS)","4650 Ladson Road",Summerville,SC,29485,"Rusty Bull Brewing Company",32.954107,-80.162233,1,rooftop,"4650 Ladson Rd",,"Summerville, SC 29485",4650,"Ladson Rd",,,Summerville,SC,"Dorchester County",29485,US,"Statewide SC",gcod_usnmgr77dkcx6b3g2kf7thfuenjme
"Top Dawg Tavern - HHI (CHS)","13 Harbourside Lane","Hilton Head Island",SC,29928-3599,"Rusty Bull Brewing Company",32.18053,-80.728561,1,rooftop,"13 Harbourside Ln",,"Hilton Head Island, SC 29928",13,"Harbourside Ln",,,"Hilton Head Island",SC,"Beaufort County",29928,US,Beaufort,gcod_usnp2et9n5j9mvdfelz26lefc5hde
"Nantucket Market - Bluffton (CHS)","1414 Fording Island Road",Bluffton,SC,29910,"Rusty Bull Brewing Company",32.240355,-80.817683,1,rooftop,"1414 US-278",,"Bluffton, SC 29910",1414,US-278,,,Bluffton,SC,"Beaufort County",29910,US,Beaufort,gcod_usncty3nzmya4rz42w4bzj2fd7jz9
"Charleston Harbor Resort (CHS)","28 Patriots Point Road","Mount Pleasant",SC,29464,"Rusty Bull Brewing Company",32.786765,-79.906491,1,rooftop,"28 Patriots Point Rd",,"Mount Pleasant, SC 29464",28,"Patriots Point Rd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnnxr62b4pg664f4gwmv7vbvrpnb
"Momo Crowfield (CHS)","300 Hamlet Circle","Goose Creek",SC,29445,"Rusty Bull Brewing Company",33.003602,-80.080394,1,rooftop,"300 Hamlet Cir",,"Goose Creek, SC 29445",300,"Hamlet Cir",,,"Goose Creek",SC,"Berkeley County",29445,US,Berkeley,gcod_usnddplsfuzqjtj2zbevts2czcadc
"Cannon Distillery (CHS)","1734 Signal Point Road",Charleston,SC,29412,"Rusty Bull Brewing Company",32.709689,-79.966768,1,rooftop,"1734 Signal Point Rd",,"Charleston, SC 29412",1734,"Signal Point Rd",,,Charleston,SC,"Charleston County",29412,US,"Charleston County GIS",gcod_usnt5y4py3m2usj47rqenlwa7ndx7
"Fuji Sushi - Belle Hall (CHS)","644 Long Point Road","Mount Pleasant",SC,29464,"Rusty Bull Brewing Company",32.840319,-79.855679,1,rooftop,"644 Long Point Rd",,"Mount Pleasant, SC 29464",644,"Long Point Rd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnq9vmw4t26q7eev8l25lhhdm5hg
"Mainland Container Co (CHS)","1528 Ben Sawyer Boulevard","Mount Pleasant",SC,29464,"Rusty Bull Brewing Company",32.789353,-79.850885,1,rooftop,"1528 Ben Sawyer Blvd",,"Mount Pleasant, SC 29464",1528,"Ben Sawyer Blvd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usn4drgl74yfzesh4j37xbvnahbza
"Aloft Hotel - Tanger (CHS)","4875 Tanger Outlet Boulevard","North Charleston",SC,29418,"Rusty Bull Brewing Company",32.869473,-80.014714,1,rooftop,"4875 Tanger Outlet Blvd",,"North Charleston, SC 29418",4875,"Tanger Outlet Blvd",,,"North Charleston",SC,"Charleston County",29418,US,"Charleston County GIS",gcod_usnxvt3ypm7jpf4dqppxygvqwkab4
"Elks Lodge #242 - West Ashley (CHS)","1113 Sam Rittenberg Boulevard",Charleston,SC,29407,"Rusty Bull Brewing Company",32.824513,-79.990025,1,rooftop,"1113 Sam Rittenberg Blvd",,"Charleston, SC 29407",1113,"Sam Rittenberg Blvd",,,Charleston,SC,"Charleston County",29407,US,"Charleston County GIS",gcod_usngraghaq6me4f9k3gtadkljh3s3
"Rodney Scotts BBQ (CHS)","1011 King Street",Charleston,SC,29403,"Rusty Bull Brewing Company",32.80343,-79.951308,1,rooftop,"1011 King St",,"Charleston, SC 29403",1011,"King St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usn2dwm2dywj3juazjhad5gtnpmfa
"Viva Tacos - DI (CHS)","864 Island Park Drive","Daniel Island",SC,29492,"Rusty Bull Brewing Company",32.863917,-79.90495,1,rooftop,"864 Island Park Dr",,"Daniel Island, SC 29492",864,"Island Park Dr",,,"Daniel Island",SC,"Berkeley County",29492,US,Berkeley,gcod_usnfu34ru7esvzse5lgk2k8dk8dm5
"Mercantile & Mash (CHS)","701 East Bay Street",Charleston,SC,29403,"Rusty Bull Brewing Company",32.79762,-79.934842,1,rooftop,"701 E Bay St",,"Charleston, SC 29403",701,"E Bay St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usn9nhveyx42tdrbguqvnwsycpdud
"Emeline Hotel (CHS)","181 Church Street",Charleston,SC,29401,"Rusty Bull Brewing Company",32.781359,-79.929773,1,rooftop,"181 Church St",,"Charleston, SC 29401",181,"Church St",,,Charleston,SC,"Charleston County",29401,US,"Charleston County GIS",gcod_usnhsulg398axrx2pqyvnqsywuqb8
"King Street Dispensary (CHS)","559 King Street",Charleston,SC,29403,"Rusty Bull Brewing Company",32.791545,-79.940409,1,rooftop,"559 King St",,"Charleston, SC 29403",559,"King St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usn2dwm2dywj3jualrtr4lqc972r5
"1711 Taphouse (CHS)","3668 Trask Parkway",Beaufort,SC,29906,"Rusty Bull Brewing Company",32.441626,-80.722728,1,rooftop,"3668 Trask Pkwy",,"Beaufort, SC 29906",3668,"Trask Pkwy",,,Beaufort,SC,"Beaufort County",29906,US,Beaufort,gcod_usn69m42wstqeqser25sz2nk4xfe4
"Charleston Sports Pub-Summerville (CHS)","10040 Dorchester Road",Summerville,SC,29485,"Rusty Bull Brewing Company",32.953995,-80.16344,1,rooftop,"10040 Dorchester Rd",,"Summerville, SC 29485",10040,"Dorchester Rd",,,Summerville,SC,"Dorchester County",29485,US,"Statewide SC",gcod_usn8h8gaawezstt3eulrvgrsq33xh
"Bon Banh Mi - Mt P (CHS)","1440 Ben Sawyer Boulevard","Mount Pleasant",SC,29464,"Rusty Bull Brewing Company",32.79333,-79.852697,1,rooftop,"1440 Ben Sawyer Blvd",,"Mount Pleasant, SC 29464",1440,"Ben Sawyer Blvd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usn4drgl74yfzesh9jy2tj76xmwec
"The Grit Counter - Montague (CHS)","3438 West Montague Avenue","North Charleston",SC,29418,"Rusty Bull Brewing Company",32.863796,-80.022867,1,rooftop,"3438 W Montague Ave",,"North Charleston, SC 29418",3438,"W Montague Ave",,,"North Charleston",SC,"Charleston County",29418,US,"Charleston County GIS",gcod_usn68e8jn34l3l3h98nshegksf6q4
"King's Leaf Nexton (CHS)","418 Nexton Square Drive",Summerville,SC,29486,"Rusty Bull Brewing Company",33.041144,-80.140704,1,rooftop,"418 Nexton Square Dr",,"Summerville, SC 29486",418,"Nexton Square Dr",,,Summerville,SC,"Berkeley County",29486,US,Berkeley,gcod_usn7dfhxg3xh3uk24htuju7n94ke3
"Crave-Mt Pleasant (CHS)","1968 Riviera Drive","Mount Pleasant",SC,29464,"Rusty Bull Brewing Company",32.821933,-79.816527,1,rooftop,"1968 Riviera Dr",,"Mount Pleasant, SC 29464",1968,"Riviera Dr",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usn9k9nyzstxbqqdabrf765urcjb9
"ASRC Federal Field Services (CHS)","2000 Thompson Avenue","North Charleston",SC,29405,"Rusty Bull Brewing Company",32.844826,-79.936215,0.91,nearest_rooftop_match,"2001 Thompson Ave",,"North Charleston, SC 29405",2001,"Thompson Ave",,,"North Charleston",SC,"Charleston County",29405,US,"Charleston County GIS",gcod_usn6exhgnhscjcecffb8ynyqdqhy5
"Cantaritos Mexican Kitchen (CHS)","214 Okatie Village Drive",Okatie,SC,29909,"Rusty Bull Brewing Company",32.295596,-80.944109,1,rooftop,"214 Okatie Village Dr",,"Okatie, SC 29909",214,"Okatie Village Dr",,,Okatie,SC,"Beaufort County",29909,US,Beaufort,gcod_usnuwqhchtncauff3en6c25ntpvp7
"Saltwater Cowboys (CHS)","130 Mill Street","Mount Pleasant",SC,29464,"Rusty Bull Brewing Company",32.791552,-79.881882,1,rooftop,"130 Mill St",,"Mount Pleasant, SC 29464",130,"Mill St",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnjsyjpx3chj324d59t6p63d4u9e
"Charleston Battery S/E (CHS)","85 Patriots Point Drive","Mount Pleasant",SC,29464,"Rusty Bull Brewing Company",32.795022,-79.902325,1,rooftop,"85 Patriots Point Rd",,"Mount Pleasant, SC 29464",85,"Patriots Point Rd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnnxr62b4pg664fkuu6m7btabys5
"Pearlz - East Bay (CHS)","153 East Bay Street",Charleston,SC,29401,"Rusty Bull Brewing Company",32.7782,-79.927202,1,rooftop,"153 E Bay St",,"Charleston, SC 29401",153,"E Bay St",,,Charleston,SC,"Charleston County",29401,US,"Charleston County GIS",gcod_usncncrkar7hbeedrglpm57twufxa
"Hilton Garden-Mt P (CHS)","300 Wingo Way","Mount Pleasant",SC,29464,"Rusty Bull Brewing Company",32.804402,-79.894883,1,rooftop,"300 Wingo Way",,"Mount Pleasant, SC 29464",300,"Wingo Way",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnuj8lp9p2ugutd7rjgjg5h8gy88
"Fleet Landing (CHS)","186 Concord Street",Charleston,SC,29401,"Rusty Bull Brewing Company",32.780386,-79.924835,1,rooftop,"186 Concord St",,"Charleston, SC 29401",186,"Concord St",,,Charleston,SC,"Charleston County",29401,US,"Charleston County GIS",gcod_usnq4usy2lmewaq5uguuhv67fbqjb
"Bad Daddy's Burger Bar (CHS)","200 Front Street",Summerville,SC,29486,"Rusty Bull Brewing Company",33.040905,-80.140726,1,rooftop,"200 Front St",,"Summerville, SC 29486",200,"Front St",,,Summerville,SC,"Berkeley County",29486,US,Berkeley,gcod_usnpub4sflydmxg5ydun9alcba2k4
"Mellow Mushroom-Avondale (CHS)","19 Magnolia Road",Charleston,SC,29407,"Rusty Bull Brewing Company",32.782514,-79.986178,1,rooftop,"19 Magnolia Rd",,"Charleston, SC 29407",19,"Magnolia Rd",,,Charleston,SC,"Charleston County",29407,US,"Charleston County GIS",gcod_usn9t5wkxys94er47nckw6wv4ne3d
"John King Piano Bar (CHS)","428 King Street",Charleston,SC,29403,"Rusty Bull Brewing Company",32.78834,-79.937812,1,rooftop,"428 King St",,"Charleston, SC 29403",428,"King St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usn2dwm2dywj3jua8ptfbrr4axae6
"Smoke N Folly (CHS)","815 Folly Road",Charleston,SC,29412-3434,"Rusty Bull Brewing Company",32.73891,-79.967338,1,rooftop,"815 Folly Rd",,"Charleston, SC 29412",815,"Folly Rd",,,Charleston,SC,"Charleston County",29412,US,"Statewide SC",gcod_usn8vewwym3yhyn4w2yjavnyuwp47
"Sesame - Mt P (CHS)","675 Johnnie Dodds Boulevard","Mount Pleasant",SC,29464,"Rusty Bull Brewing Company",32.807126,-79.878413,1,rooftop,"675 Johnnie Dodds Blvd",,"Mount Pleasant, SC 29464",675,"Johnnie Dodds Blvd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnjz6pduu3pt2af3t7ypzx2zdpqa
"Grace And Grit (CHS)","320 Wingo Way","Mount Pleasant",SC,29464-2839,"Rusty Bull Brewing Company",32.805265,-79.892412,1,rooftop,"320 Wingo Way",,"Mount Pleasant, SC 29464",320,"Wingo Way",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnuj8lp9p2ugutd33xaur63gjay9
"T-Bonz-West Ashley (CHS)","1668 Old Towne Road",Charleston,SC,29407,"Rusty Bull Brewing Company",32.816481,-79.992887,1,rooftop,"1668 Old Towne Rd",,"Charleston, SC 29407",1668,"Old Towne Rd",,,Charleston,SC,"Charleston County",29407,US,"Charleston County GIS",gcod_usnhkv4hmbv4uu33eb35sm3kn7e2b
"Sipango DBA Rudy Royale (CHS)","209 East Bay Street",Charleston,SC,29401,"Rusty Bull Brewing Company",32.780329,-79.927353,1,rooftop,"209 E Bay St",,"Charleston, SC 29401",209,"E Bay St",,,Charleston,SC,"Charleston County",29401,US,"Charleston County GIS",gcod_usncncrkar7hbeedwu4gwmk5vbdw7
"Saltus River Grill (CHS)","802 Bay Street",Beaufort,SC,29902-5594,"Rusty Bull Brewing Company",32.430608,-80.671096,1,rooftop,"802 Bay St",,"Beaufort, SC 29902",802,"Bay St",,,Beaufort,SC,"Beaufort County",29902,US,Beaufort,gcod_usnmenusalcargu4cumh34rkjf4g7
"Garage 75 (CHS)","1175 Folly Road",Charleston,SC,29412,"Rusty Bull Brewing Company",32.723967,-79.967928,1,rooftop,"1175 Folly Rd",,"Charleston, SC 29412",1175,"Folly Rd",,,Charleston,SC,"Charleston County",29412,US,"Charleston County GIS",gcod_usn8vewwym3yhyn4ga6fqmhhftzfd
"Crust Station (CHS)","114 Jungle Road","Edisto Island",SC,29438,"Rusty Bull Brewing Company",32.503139,-80.298735,1,rooftop,"114 Jungle Rd",,"Edisto Island, SC 29438",114,"Jungle Rd",,,"Edisto Island",SC,"Colleton County",29438,US,"Statewide SC",gcod_usnkr3ews84keh3a8l2vhvnlx94re
"Hometeam BBQ - Sullivans (CHS)","2209 Middle Street","Sullivans Island",SC,29482,"Rusty Bull Brewing Company",32.762349,-79.836888,1,rooftop,"2209 Middle St",,"Sullivans Island, SC 29482",2209,"Middle St",,,"Sullivans Island",SC,"Charleston County",29482,US,"Statewide SC",gcod_usnyjfwp23bczmgaj4h5zyr2f2bw3
"Lost Local - Beaufort (CHS)","705 Bay Street",Beaufort,SC,29902,"Rusty Bull Brewing Company",32.430822,-80.670277,1,rooftop,"705 Bay St",,"Beaufort, SC 29902",705,"Bay St",,,Beaufort,SC,"Beaufort County",29902,US,Beaufort,gcod_usnmenusalcargu4drhcncwc539x6
"Swig & Swine - Summerville (CHS)","1990 Old Trolley Road",Summerville,SC,29485,"Rusty Bull Brewing Company",32.953715,-80.166493,1,rooftop,"1990 Old Trolley Rd",,"Summerville, SC 29485",1990,"Old Trolley Rd",,,Summerville,SC,"Dorchester County",29485,US,"Statewide SC",gcod_usnss38eytdu49g8hs8hvbajr95j9
"Hometeam BBQ - West Ashley (CHS)","1205 Ashley River Road",Charleston,SC,29407,"Rusty Bull Brewing Company",32.796967,-79.99767,1,rooftop,"1205 Ashley River Rd",,"Charleston, SC 29407",1205,"Ashley River Rd",,,Charleston,SC,"Charleston County",29407,US,"Charleston County GIS",gcod_usna2372jezulbreuy883rkh6jlp2
"Catch23 (CHS)","10 Center Street","Folly Beach",SC,29439,"Rusty Bull Brewing Company",32.655698,-79.940709,1,rooftop,"10 Center St",,"Folly Beach, SC 29439",10,"Center St",,,"Folly Beach",SC,"Charleston County",29439,US,"Statewide SC",gcod_usnv3klw4pdqne2afeshrua79zb6c
"Chas Beer Works (CHS)","480 King Street",Charleston,SC,29403,"Rusty Bull Brewing Company",32.790143,-79.939046,1,rooftop,"480 King St",,"Charleston, SC 29403",480,"King St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usn2dwm2dywj3juasvx2mg94c9tw2
