Retailer,Address,Postal Code,City,State,Supplier,Brand Name,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source,Geocodio Stable Address Key
Mex 1-Sullivans (CHS),2205 Middle Street,29482,Sullivans Island,SC,Island Brands,Island Coastal Lager,32.762359,-79.837039,1,rooftop,2205 Middle St,"Sullivans Island, SC 29482",2205,Middle St,,,Sullivans Island,SC,Charleston County,29482,US,Statewide SC,gcod_usnyjfwp23bczmgatb2k2a8w6ph2b
Charleston Sports Pub-Maybank (CHS),1989 Maybank Highway,29412,Charleston,SC,Island Brands,Island Coastal Lager,32.76209,-79.987704,1,rooftop,1989 Maybank Hwy,"Charleston, SC 29412",1989,Maybank Hwy,,,Charleston,SC,Charleston County,29412,US,Charleston County GIS,gcod_usnhlgspal559gt9vpszvfv56pfq5
Mainland Container Co (CHS),1528 Ben Sawyer Boulevard,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.789353,-79.850885,1,rooftop,1528 Ben Sawyer Blvd,"Mount Pleasant, SC 29464",1528,Ben Sawyer Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usn4drgl74yfzesh4j37xbvnahbza
Capt Woodys-Bluff (CHS),17 State of Mind Street,29910-6287,Bluffton,SC,Island Brands,Island Coastal Lager,32.238446,-80.861676,1,rooftop,17 State of Mind St,"Bluffton, SC 29910",17,State of Mind St,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usnzah7a59cavmf5cm423uee5rx37
Catch23 (CHS),10 Center Street,29439,Folly Beach,SC,Island Brands,Island Coastal Lager,32.655698,-79.940709,1,rooftop,10 Center St,"Folly Beach, SC 29439",10,Center St,,,Folly Beach,SC,Charleston County,29439,US,Statewide SC,gcod_usnv3klw4pdqne2afeshrua79zb6c
Gaillard Center - Calhoun (CHS),95 Calhoun Street,29401,Charleston,SC,Island Brands,Island Coastal Lager,32.786976,-79.93107,1,rooftop,95 Calhoun St,"Charleston, SC 29401",95,Calhoun St,,,Charleston,SC,Charleston County,29401,US,Charleston County GIS,gcod_usn2nl52a6n4z9d9xmgd85hdymy8c
Charleston Union Station (CHS),652 King Street,29403,Charleston,SC,Island Brands,Island Coastal Lager,32.796194,-79.943588,1,rooftop,652 King St,"Charleston, SC 29403",652,King St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usn2dwm2dywj3juapd84pbuwrrvs4
Pages Okra Grill (CHS),302 Coleman Boulevard,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.790802,-79.877246,1,rooftop,302 Coleman Blvd,"Mount Pleasant, SC 29464",302,Coleman Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnstsra729yz4t4bxqmgep5xqm77
Bulls Bay Golf (CHS),995 Bulls Bay Boulevard,29429,Awendaw,SC,Island Brands,Island Coastal Lager,32.903714,-79.716205,1,rooftop,995 Bulls Bay Blvd,"Awendaw, SC 29429",995,Bulls Bay Blvd,,,Awendaw,SC,Charleston County,29429,US,Charleston County GIS,gcod_usnuxudcfllvj8b9cwner8rvpdnf7
Shadowmoss Plantation (CHS),20 Dunvegan Drive,29414,Charleston,SC,Island Brands,Island Coastal Lager,32.844215,-80.074246,1,range_interpolation,20 Dunvegan Dr,"Charleston, SC 29414",20,Dunvegan Dr,,,Charleston,SC,Charleston County,29414,US,TIGER/Line® from the US Census Bureau,gcod_usncfb74y6x6n53ha8un9jjhkd775
Cat Island Club (CHS),8 Waveland Avenue,29907,Beaufort,SC,Island Brands,Island Coastal Lager,32.367046,-80.651368,1,rooftop,8 Waveland Ave,"Beaufort, SC 29907",8,Waveland Ave,,,Beaufort,SC,Beaufort County,29907,US,Beaufort,gcod_usnbgyrf5qakkjeckl8y8da36rqzh
Islander 71 - IOP (CHS),80 41st Avenue,29451,Isle Of Palms,SC,Island Brands,Island Coastal Lager,32.804349,-79.760574,1,range_interpolation,80 41st Ave,"Isle of Palms, SC 29451",80,41st Ave,,,Isle of Palms,SC,Charleston County,29451,US,TIGER/Line® from the US Census Bureau,gcod_usnnnakdzub45addssc7bbx2qqvc2
Hometeam BBQ - North Mt Pleasant (CHS),3563 Highway 17 North,29466,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.879588,-79.763647,1,range_interpolation,3563 Highway 17,"Mount Pleasant, SC 29466",3563,Highway 17,,,Mount Pleasant,SC,Charleston County,29466,US,TIGER/Line® from the US Census Bureau,gcod_usnddsg23a48cxlggfve5ejhna44a
Virginia's On King (CHS),412 King Street,29403,Charleston,SC,Island Brands,Island Coastal Lager,32.787541,-79.937241,1,rooftop,412 King St,"Charleston, SC 29403",412,King St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usn2dwm2dywj3juav35khll3eez2d
Washout (CHS),41 Center Street,29439,Folly Beach,SC,Island Brands,Island Coastal Lager,32.656967,-79.942042,1,rooftop,41 Center St,"Folly Beach, SC 29439",41,Center St,,,Folly Beach,SC,Charleston County,29439,US,Statewide SC,gcod_usnv3klw4pdqne2a6sfge8gt7r3eg
The Wandering Taps S/E (CHS),310 Broad Street,29401,Charleston,SC,Island Brands,Island Coastal Lager,32.776058,-79.943279,1,rooftop,310 Broad St,"Charleston, SC 29401",310,Broad St,,,Charleston,SC,Charleston County,29401,US,Charleston County GIS,gcod_usnn2jeyly2jsujbf554v3s398b2g
Charleston Harbor Store (CHS),32 Patriots Point Road,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.787584,-79.906771,1,rooftop,32 Patriots Point Rd,"Mount Pleasant, SC 29464",32,Patriots Point Rd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnnxr62b4pg664f4ky7pun5z3jx5
Hallmark Hilton Head Club (CHS),2130 Club Way,29927,Hardeeville,SC,Island Brands,Island Coastal Lager,32.330033,-81.016286,1,rooftop,2130 Club Way,"Hardeeville, SC 29927",2130,Club Way,,,Hardeeville,SC,Jasper County,29927,US,Jasper,gcod_usnm2uzsptwxmk7czt3g8mrb3czs2
Chas Harbor Fish House (CHS),32 Patriots Point Road,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.787584,-79.906771,1,rooftop,32 Patriots Point Rd,"Mount Pleasant, SC 29464",32,Patriots Point Rd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnnxr62b4pg664f4ky7pun5z3jx5
A.W. Shucks Seafood Shack (CHS),208 & 210 King Street,29401-3149,Charleston,SC,Island Brands,Island Coastal Lager,32.857172,-79.907871,0.72,nearest_rooftop_match,145 210th St,"Charleston, SC 29492",145,210th St,,,Charleston,SC,Berkeley County,29492,US,Berkeley,gcod_usnp42w7942ajrzhyzwzpjl72ejpc
Shuckin Shack Oyster Bar - West Ash (CHS),40 Grande Oaks Boulevard,29414,Charleston,SC,Island Brands,Island Coastal Lager,32.825072,-80.085321,1,rooftop,40 Grand Oaks Blvd,"Charleston, SC 29414",40,Grand Oaks Blvd,,,Charleston,SC,Charleston County,29414,US,Charleston County GIS,gcod_usnrzfyc6tpuuh44sp6f4qk4bggx2
Iggy's Pizza - Mt P (CHS),1226 Ben Sawyer Boulevard,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.794323,-79.860386,1,range_interpolation,1226 Ben Sawyer Blvd,"Mount Pleasant, SC 29464",1226,Ben Sawyer Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,TIGER/Line® from the US Census Bureau,gcod_usn4drgl74yfzesh5mrtja289gml7
Wisconsin Meat & Cheese (CHS),1027 Folly Road,29412,Charleston,SC,Island Brands,Island Coastal Lager,32.728986,-79.968847,1,rooftop,1027 Folly Rd,"Charleston, SC 29412",1027,Folly Rd,,,Charleston,SC,Charleston County,29412,US,Statewide SC,gcod_usn8vewwym3yhyn4aqrbjl3eyj7rg
Halls Chophouse - Nexton (CHS),300 Nexton Square Drive,29486-7751,Summerville,SC,Island Brands,Island Coastal Lager,33.041875,-80.140966,1,rooftop,300 Nexton Square Dr,"Summerville, SC 29486",300,Nexton Square Dr,,,Summerville,SC,Berkeley County,29486,US,Berkeley,gcod_usn7dfhxg3xh3uk2wh4rzuqgguyef
Marriott-North Charleston (CHS),4770 Goer Drive,29406,North Charleston,SC,Island Brands,Island Coastal Lager,32.872509,-80.009333,1,rooftop,4770 Goer Dr,"North Charleston, SC 29406",4770,Goer Dr,,,North Charleston,SC,Charleston County,29406,US,Charleston County GIS,gcod_usn7bwj9rwauf75gsemm2lmwuh6a8
Bluffton Seafood (CHS),27 Doctor Mellichamp Drive,29910,Bluffton,SC,Island Brands,Island Coastal Lager,32.24013,-80.86077,0.79,nearest_rooftop_match,35 Doctor Ln,"Bluffton, SC 29910",27,Doctor Ln,,,Varnville,SC,Hampton County,29944,US,Hampton,gcod_usntbxng44qeg3f7b95wd4ej9pwm7
Top Dawg Tavern - HHI (CHS),13 Harbourside Lane,29928-3599,Hilton Head Island,SC,Island Brands,Island Coastal Lager,32.18053,-80.728561,1,rooftop,13 Harbourside Ln,"Hilton Head Island, SC 29928",13,Harbourside Ln,,,Hilton Head Island,SC,Beaufort County,29928,US,Beaufort,gcod_usnp2et9n5j9mvdfelz26lefc5hde
Boone Hall Plantation (CHS),1235 Long Point Road,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.858295,-79.823104,1,rooftop,1235 Long Point Rd,"Mount Pleasant, SC 29464",1235,Long Point Rd,,,Mount Pleasant,SC,Charleston County,29464,US,Statewide SC,gcod_usnq9vmw4t26q7ee88zz9jjdkd4a4
Page's Okra Grill - Summerville (CHS),142 Brighton Park Boulevard,29464,Summerville,SC,Island Brands,Island Coastal Lager,33.042964,-80.140288,0.99,rooftop,142 Brighton Park Blvd,"Summerville, SC 29486",142,Brighton Park Blvd,,,Summerville,SC,Berkeley County,29486,US,Berkeley,gcod_usnmelthsh8humh7eu39hcep7nqu5
Hometeam BBQ - Downtown (CHS),126 Williman Street,29403,Charleston,SC,Island Brands,Island Coastal Lager,32.8092,-79.946443,1,rooftop,126 Williman St,"Charleston, SC 29403",126,Williman St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usnkc8n46ej6yx597vkzfwxqbtldh
Top Shelf Catering S/E (CHS),1235 Long Point Road,29464-9020,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.858295,-79.823104,1,rooftop,1235 Long Point Rd,"Mount Pleasant, SC 29464",1235,Long Point Rd,,,Mount Pleasant,SC,Charleston County,29464,US,Statewide SC,gcod_usnq9vmw4t26q7ee88zz9jjdkd4a4
Mercantile & Mash (CHS),701 East Bay Street,29403,Charleston,SC,Island Brands,Island Coastal Lager,32.79762,-79.934842,1,rooftop,701 E Bay St,"Charleston, SC 29403",701,E Bay St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usn9nhveyx42tdrbguqvnwsycpdud
Dock Side - Edisto (CHS),3730 Docksite Road,29438,Edisto Island,SC,Island Brands,Island Coastal Lager,32.492302,-80.334952,1,rooftop,3730 Dock Site Rd,"Edisto Island, SC 29438",3730,Dock Site Rd,,,Edisto Island,SC,Colleton County,29438,US,Colleton County,gcod_usnwus26544mt9le56e35wjs74awf
The Shem Creek Inn (CHS),1401 Shrimp Boat Lane,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.792718,-79.882562,1,rooftop,1401 Shrimp Boat Ln,"Mount Pleasant, SC 29464",1401,Shrimp Boat Ln,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usn4v3j2c7b6t2n8yahu5v47adzea
Red's Ice House-Shem (CHS),98 Church Street,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.791517,-79.88118,1,range_interpolation,98 Church St,"Mount Pleasant, SC 29464",98,Church St,,,Mount Pleasant,SC,Charleston County,29464,US,TIGER/Line® from the US Census Bureau,gcod_usnc6ckgrcvygqdc7lyyuzcx5758d
Matt's Burgers (CHS),102 South Cedar Street,29483,Summerville,SC,Island Brands,Island Coastal Lager,33.020996,-80.176957,1,rooftop,102 S Cedar St,"Summerville, SC 29483",102,S Cedar St,,,Summerville,SC,Dorchester County,29483,US,Charleston County GIS,gcod_usn556ztsm9beb86bcqa28da5yx93
Water's Edge Restaurant (CHS),1407 Shrimp Boat Lane,29464-4379,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.792781,-79.881837,1,rooftop,1407 Shrimp Boat Ln,"Mount Pleasant, SC 29464",1407,Shrimp Boat Ln,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usn4v3j2c7b6t2n868ymg72cf97vd
Charleston Harbor Resort (CHS),28 Patriots Point Road,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.786765,-79.906491,1,rooftop,28 Patriots Point Rd,"Mount Pleasant, SC 29464",28,Patriots Point Rd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnnxr62b4pg664f4gwmv7vbvrpnb
Halls Chop House - King St (CHS),434 King Street,29403,Charleston,SC,Island Brands,Island Coastal Lager,32.788506,-79.9379,1,rooftop,434 King St,"Charleston, SC 29403",434,King St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usn2dwm2dywj3juaq53mfuxjtueeh
Scratch Italian Kitchen (CHS),831 Parris Island Gateway,29906,Beaufort,SC,Island Brands,Island Coastal Lager,32.380671,-80.727712,1,rooftop,831 Parris Island Gtwy,"Beaufort, SC 29906",831,Parris Island Gtwy,,,Beaufort,SC,Beaufort County,29906,US,Beaufort,gcod_usnazcwxt7qh6gmh8mhx79t9rfnuh
Crosby's Fish & Shrimp (CHS),2223 Folly Road,29412,Charleston,SC,Island Brands,Island Coastal Lager,32.674535,-79.950353,1,rooftop,2223 Folly Rd,"Charleston, SC 29412",2223,Folly Rd,,,Charleston,SC,Charleston County,29412,US,Statewide SC,gcod_usn8vewwym3yhyn4nupqxjprpmmg4
Spectator Hotel (CHS),67 State Street,29401,Charleston,SC,Island Brands,Island Coastal Lager,32.780551,-79.928595,1,rooftop,67 State St,"Charleston, SC 29401",67,State St,,,Charleston,SC,Charleston County,29401,US,Charleston County GIS,gcod_usnaerz9qgeskcu66l2npewpaeph4
Whaley's Store (CHS),2801 Myrtle Street,29438,Edisto Island,SC,Island Brands,Island Coastal Lager,32.480782,-80.333994,1,rooftop,2801 Myrtle St,"Edisto Island, SC 29438",2801,Myrtle St,,,Edisto Island,SC,Colleton County,29438,US,Statewide SC,gcod_usndnsfrupvzemd7lkwa4h4kltfe2
Marriott - HHI Grande Ocean (CHS),51 South Forest Beach Drive,29928-6220,Hilton Head Island,SC,Island Brands,Island Coastal Lager,32.136457,-80.763083,1,rooftop,51 S Forest Beach Dr,"Hilton Head Island, SC 29928",51,S Forest Beach Dr,,,Hilton Head Island,SC,Beaufort County,29928,US,Beaufort,gcod_usnkxl9jj2ratkxhybv5a99y4pj47
Daniel Island Club (CHS),600 Island Park Drive,29492-7586,Daniel Island,SC,Island Brands,Island Coastal Lager,32.882758,-79.905586,1,rooftop,600 Island Park Dr,"Daniel Island, SC 29492",600,Island Park Dr,,,Daniel Island,SC,Berkeley County,29492,US,Berkeley,gcod_usnfu34ru7esvzsej6p28urjna3xc
The Dime - Daniel Island (CHS),30 River Landing Drive,29492,Charleston,SC,Island Brands,Island Coastal Lager,32.855462,-79.903619,1,rooftop,30 River Landing Dr,"Daniel Island, SC 29492",30,River Landing Dr,,,Daniel Island,SC,Berkeley County,29492,US,Berkeley,gcod_usn6bw2wavd32852yegznwguv7ywa
Up the Creek at Broad Creek Marina (CHS),18 Simmons Road,29926-2322,Hilton Head Island,SC,Island Brands,Island Coastal Lager,32.185255,-80.756896,1,rooftop,18 Simmons Rd,"Hilton Head Island, SC 29926",18,Simmons Rd,,,Hilton Head Island,SC,Beaufort County,29926,US,Beaufort,gcod_usnu63ytvgc3lr945thmdyqjnm97f
IOP Marina Outpost (CHS),50 41st Avenue,29451,Isle Of Palms,SC,Island Brands,Island Coastal Lager,32.80526,-79.759724,1,rooftop,50 41st Ave,"Isle of Palms, SC 29451",50,41st Ave,,,Isle of Palms,SC,Charleston County,29451,US,Charleston,gcod_usnlxs8sllpvcvxfu4hhb3wmlcmg3
Stono Market - Johns Island (CHS),842 Main Road,29455,Johns Island,SC,Island Brands,Island Coastal Lager,32.760852,-80.106873,1,rooftop,842 Main Rd,"Johns Island, SC 29455",842,Main Rd,,,Johns Island,SC,Charleston County,29455,US,Statewide SC,gcod_usnukbeh6qvvuhp7j6t2f4wg5fu37
Top Golf (CHS),5000 Top Golf Way,29418,North Charleston,SC,Island Brands,Island Coastal Lager,32.86924,-80.01643,0.72,nearest_rooftop_match,5000 Topgolf  Wy,"North Charleston, SC 29418",468,Tapp Ln,,,Summerville,SC,Berkeley County,29486,US,Berkeley,gcod_usn7d88p8glwejkgksb8sxtrpswj8
Sanctuary - Kiawah (CHS),1 Sanctuary Drive,29455,Kiawah Island,SC,Island Brands,Island Coastal Lager,32.601285,-80.092226,0.9,rooftop,1 Sanctuary Beach Dr,"Johns Island, SC 29455",1,Sanctuary Beach Dr,,,Johns Island,SC,Charleston County,29455,US,Statewide SC,gcod_usnf6v752bnya5feyjhrachubyr82
Doubletree - Tanger (CHS),5264 International Boulevard,29418,North Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.870311,-80.024778,1,rooftop,5264 International Blvd,"North Charleston, SC 29418",5264,International Blvd,,,North Charleston,SC,Charleston County,29418,US,Charleston County GIS,gcod_usnl87s96erxaavhn83kcj9zl2p44
Sesame - Park Circle (CHS),4726 Spruill Avenue,29405,North Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.880791,-79.979991,1,rooftop,4726 Spruill Ave,"North Charleston, SC 29405",4726,Spruill Ave,,,North Charleston,SC,Charleston County,29405,US,Charleston County GIS,gcod_usnnmyzuqn3225hhzd7eajh4bc2wd
Ms. Roses (CHS),1090 Sam Rittenberg Boulevard,29407,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.822413,-79.992264,1,rooftop,1090 Sam Rittenberg Blvd,"Charleston, SC 29407",1090,Sam Rittenberg Blvd,,,Charleston,SC,Charleston County,29407,US,Charleston County GIS,gcod_usngraghaq6me4f9wr2r6h37uclt7
Jinya Ramen Bar (CHS),95 Mathews Drive F 3-5,29926,Hilton Head Island,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.21104,-80.700752,1,rooftop,95 Mathews Dr,"Hilton Head Island, SC 29926",95,Mathews Dr,Ste,B5,Hilton Head Island,SC,Beaufort County,29926,US,Beaufort,gcod_usnnp5hl2mq29fvaut28rzm9uyup4
Carolina Tasting Room (CHS),1 North Forest Beach Drive,29928,Hilton Head Island,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.143409,-80.750369,1,rooftop,1 N Forest Beach Dr,"Hilton Head Island, SC 29928",1,N Forest Beach Dr,,,Hilton Head Island,SC,Beaufort County,29928,US,Beaufort,gcod_usny6pafw6uftbthssgsbsmg5sbhe
Toast All Day King (CHS),451 King Street,29403,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.788559,-79.938348,1,rooftop,451 King St,"Charleston, SC 29403",451,King St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usn2dwm2dywj3juab8pa4ldb45gsh
Carolina Ale House - Nexton (CHS),191 Sigma Drive,29486-7789,Summerville,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,33.039403,-80.144534,1,rooftop,191 Sigma Dr,"Summerville, SC 29486",191,Sigma Dr,,,Summerville,SC,Berkeley County,29486,US,Berkeley,gcod_usndwauju84pu5527yu8ttr29ad3f
Madra Rua - Park Circle (CHS),1034 East Montague Avenue,29405,North Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.881761,-79.975188,1,rooftop,1034 E Montague Ave,"North Charleston, SC 29405",1034,E Montague Ave,,,North Charleston,SC,Charleston County,29405,US,Charleston County GIS,gcod_usnd57utpkg2zx45hxqx782zap5t6
Darling Oyster Bar (CHS),513 King Street,29403,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.790349,-79.93951,1,rooftop,513 King St,"Charleston, SC 29403",513,King St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usn2dwm2dywj3jua3r6nckel9yxbf
Art's (CHS),413 Coleman Boulevard,29464,Mount Pleasant,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.790378,-79.875337,1,rooftop,413 Coleman Blvd,"Mount Pleasant, SC 29464",413,Coleman Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnstsra729yz4t4z56qmbj96yxj9
Lumber Jills (CHS),4650 Ladson Road,29485,Summerville,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.954107,-80.162233,1,rooftop,4650 Ladson Rd,"Summerville, SC 29485",4650,Ladson Rd,,,Summerville,SC,Dorchester County,29485,US,Statewide SC,gcod_usnmgr77dkcx6b3g2kf7thfuenjme
One Hot Mamas - HHI (CHS),35 Office Park Road,29928,Hilton Head Island,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.154252,-80.766932,1,rooftop,35 Office Park Rd,"Hilton Head Island, SC 29928",35,Office Park Rd,,,Hilton Head Island,SC,Beaufort County,29928,US,Beaufort,gcod_usnkgetvlln89s3gd9j4k5fajvbyb
"Sweetwater Cafe, Inc. (CHS)",123 West Richardson Avenue,29483,Summerville,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,33.019506,-80.176564,1,rooftop,123 W Richardson Ave,"Summerville, SC 29483",123,W Richardson Ave,,,Summerville,SC,Dorchester County,29483,US,Charleston County GIS,gcod_usnas695qq4tgmbf4au8k94jfeff3
Charleston Sports Pub-Maybank (CHS),1989 Maybank Highway,29412,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.76209,-79.987704,1,rooftop,1989 Maybank Hwy,"Charleston, SC 29412",1989,Maybank Hwy,,,Charleston,SC,Charleston County,29412,US,Charleston County GIS,gcod_usnhlgspal559gt9vpszvfv56pfq5
Obstinate Daughter (CHS),2063 Middle Street,29482,Sullivans Island,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.761309,-79.839316,1,rooftop,2063 Middle St,"Sullivans Island, SC 29482",2063,Middle St,,,Sullivans Island,SC,Charleston County,29482,US,Statewide SC,gcod_usnyjfwp23bczmgatbhaa6u28uglb
The Grit Counter - Montague (CHS),3438 West Montague Avenue,29418,North Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.863796,-80.022867,1,rooftop,3438 W Montague Ave,"North Charleston, SC 29418",3438,W Montague Ave,,,North Charleston,SC,Charleston County,29418,US,Charleston County GIS,gcod_usn68e8jn34l3l3h98nshegksf6q4
Gaillard Center - Calhoun (CHS),95 Calhoun Street,29401,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.786976,-79.93107,1,rooftop,95 Calhoun St,"Charleston, SC 29401",95,Calhoun St,,,Charleston,SC,Charleston County,29401,US,Charleston County GIS,gcod_usn2nl52a6n4z9d9xmgd85hdymy8c
Spring Hill Suites - Ripley Point (CHS),98 Ripley Point Drive,29407,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Cuban Lager,32.778179,-79.963694,1,rooftop,98 Ripley Point Dr,"Charleston, SC 29407",98,Ripley Point Dr,,,Charleston,SC,Charleston County,29407,US,Charleston County GIS,gcod_usngxmutxzcltgvhllcxaecm3skff
Joey Tomatoes (CHS),1034 Chuck Dawley Boulevard,29464,Mount Pleasant,SC,Rusty Bull Brewing Company,Rusty Bull Cuban Lager,32.797721,-79.859269,1,rooftop,1034 Chuck Dawley Blvd,"Mount Pleasant, SC 29464",1034,Chuck Dawley Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnr9df57788qxpd5tgea4cdhds33
Rappahannock Oyster Bar (CHS),701 East Bay Street,29403,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Cuban Lager,32.79762,-79.934842,1,rooftop,701 E Bay St,"Charleston, SC 29403",701,E Bay St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usn9nhveyx42tdrbguqvnwsycpdud
King's Leaf Nexton (CHS),418 Nexton Square Drive,29486,Summerville,SC,Rusty Bull Brewing Company,Rusty Bull Cuban Lager,33.041144,-80.140704,1,rooftop,418 Nexton Square Dr,"Summerville, SC 29486",418,Nexton Square Dr,,,Summerville,SC,Berkeley County,29486,US,Berkeley,gcod_usn7dfhxg3xh3uk24htuju7n94ke3
Tobacco & Wine - Oakland (CHS),1173 Oakland Market Road,29466,Mount Pleasant,SC,Rusty Bull Brewing Company,Rusty Bull Cuban Lager,32.862426,-79.785279,1,rooftop,1173 Oakland Market Rd,"Mount Pleasant, SC 29466",1173,Oakland Market Rd,,,Mount Pleasant,SC,Charleston County,29466,US,Charleston County GIS,gcod_usncltub85d8ljqe8kxp66p8njhbd
Maybank Public House (CHS),1970 Maybank Highway,29412,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.762814,-79.986697,1,rooftop,1970 Maybank Hwy,"Charleston, SC 29412",1970,Maybank Hwy,,,Charleston,SC,Charleston County,29412,US,Charleston County GIS,gcod_usnhlgspal559gt98b7dj44hcqjka
Windjammer (CHS),1008 Ocean Boulevard,29451,Isle Of Palms,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.784618,-79.790114,1,rooftop,1008 Ocean Blvd,"Isle of Palms, SC 29451",1008,Ocean Blvd,,,Isle of Palms,SC,Charleston County,29451,US,Statewide SC,gcod_usn9wdmyvjg9m486h8qk9tr5857l8
Longhorn Steakhouse #5202 (CHS),7258 Rivers Avenue,29406,North Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.930832,-80.036333,1,range_interpolation,7258 Rivers Ave,"North Charleston, SC 29406",7258,Rivers Ave,,,North Charleston,SC,Charleston County,29406,US,TIGER/Line® from the US Census Bureau,gcod_usnqgh6w5rus53harwt8w83frgbda
T-Bonz-Downtown (CHS),80 North Market Street,29401,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.78109,-79.930113,1,rooftop,80 N Market St,"Charleston, SC 29401",80,N Market St,,,Charleston,SC,Charleston County,29401,US,Charleston County GIS,gcod_usn4rrfw3xuth5ac7kts7kjd6wmt4
Drury Plaza Hotel North Charleston (CHS),2934 West Montegue Avenue,29418,North Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.869771,-80.01312,1,rooftop,2934 W Montague Ave,"North Charleston, SC 29418",2934,W Montague Ave,,,North Charleston,SC,Charleston County,29418,US,Charleston County GIS,gcod_usn68e8jn34l3l3hw57cw8thbuhdd
ASRC Federal Field Services (CHS),2000 Thompson Avenue,29405,North Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.844826,-79.936215,0.91,nearest_rooftop_match,2001 Thompson Ave,"North Charleston, SC 29405",2001,Thompson Ave,,,North Charleston,SC,Charleston County,29405,US,Charleston County GIS,gcod_usn6exhgnhscjcecffb8ynyqdqhy5
